"","group","Season","Year","Week","date","cases_H3","cases_total","Source","log_count","dt","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"527","15-44","2023/24",2024,22,2024-06-02,1.744247576,4.36061894,"RCGP",0.808370309560505,7,-0.133805042229702,-0.271006158154382,74,0.612071376425982,1.16500457654649,0.190492177352946,0.791639908934713,1.53836924415826,-0.053403679370885,-0.0556181548390355,-0.0511892039027344
"528","15-44","2023/24",2024,23,2024-06-09,2.777025746,11.108102984,"RCGP",1.18693622626195,7,0.378565916701446,-0.0948500974680745,75,1.05675703343448,1.1418780168891,0.191735230770166,0.766076964579574,1.51767906919863,-0.0231265596573873,-0.0255629443551387,-0.0206901749596358
"529","15-44","2023/24",2024,24,2024-06-16,1.790148828,7.160595312,"RCGP",0.828616805847377,7,-0.358319420414574,-0.03785284864761,76,0.636655570944873,1.14109123297273,0.192358600286818,0.764068376410565,1.51811408953489,-0.000786783916371991,-0.00200858816900917,0.00043502033626508
"530","15-44","2023/24",2024,25,2024-06-23,6.598304975,13.19660995,"RCGP",1.95985601962982,7,1.13123921378244,0.383828570023105,77,1.90185450558388,1.1547532017379,0.191997686744597,0.778437735718491,1.53106866775731,0.013661968765174,0.0143693593079264,0.0129545782224216
"531","15-44","2023/24",2024,26,2024-06-30,1.16283171733333,3.488495152,"RCGP",0.508522002867622,7,-1.4513340167622,-0.226138074464777,78,0.233356594058227,1.1757872656218,0.190832947387146,0.801754688742991,1.5498198425006,0.0210340638838959,0.0233169530244999,0.018751174743292
"532","15-44","2024/25",2024,27,2024-07-07,1.859000706,7.436002824,"RCGP",0.858238099704849,7,0.349716096837227,0.00987376461915721,79,0.672434499350292,1.19855640846763,0.189489902588666,0.827156199393843,1.56995661754142,0.0227691428458321,0.0254015106508523,0.0201367750408119
"533","15-44","2024/25",2024,28,2024-07-14,5.806508378,11.613016756,"RCGP",1.84158217601485,7,0.983344076310005,-0.0394246145383226,80,1.77605485784275,1.21928993676166,0.188706123018441,0.849425935645518,1.58915393787781,0.0207335282940335,0.0222697362516748,0.0191973203363922
"534","15-44","2024/25",2024,29,2024-07-21,8.30047640333333,14.940857526,"RCGP",2.17480585676124,7,0.333223680746391,0.555427951297874,81,2.12828841892359,1.23628038509949,0.18891968477427,0.865997802941923,1.60656296725706,0.016990448337828,0.0165718672964047,0.0174090293792515
"535","15-44","2024/25",2024,30,2024-07-28,6.334372776,11.085152358,"RCGP",1.92196469946913,7,-0.252841157292111,0.354575533254762,82,1.86165436559044,1.24984647556767,0.190011993704403,0.877422967907044,1.6222699832283,0.0135660904681829,0.011425164965121,0.0157070159712447
"536","15-44","2024/25",2024,31,2024-08-04,7.3740361338,10.534337334,"RCGP",2.06357078151279,7,0.141606082043661,0.0739962018326471,83,2.01143516565155,1.26208403114271,0.191372756963516,0.886993427494217,1.6371746347912,0.0122375555750343,0.00957045958717262,0.0149046515628959
"537","15-44","2024/25",2024,32,2024-08-11,2.98358138,2.98358138,"RCGP",1.24806089677681,7,-0.815509884735987,-0.308914986661479,84,1.12609170718806,1.27644880948246,0.192243379068029,0.899651786509121,1.65324583245579,0.0143647783397487,0.012658359014904,0.0160711976645935
"538","15-44","2024/25",2024,33,2024-08-18,2.0930970912,5.232742728,"RCGP",0.9528529494344,7,-0.295207947342407,-0.323037250011578,85,0.785314741688735,1.29723083780632,0.192125048001521,0.920665743723343,1.67379593188931,0.0207820283238673,0.0210139572142224,0.0205500994335122
"539","15-44","2024/25",2024,34,2024-08-25,2.203260096,5.50815024,"RCGP",0.994458487600245,7,0.0416055381658452,-0.356370764637516,86,0.83432555236862,1.32898744367311,0.191038897591112,0.95455120439453,1.70342368295169,0.0317566058667851,0.0338854606711867,0.0296277510623835
"540","15-44","2024/25",2024,35,2024-09-01,1.95080321,3.90160642,"RCGP",0.896415811644904,7,-0.0980426759553413,-0.117215028377301,87,0.718231526169015,1.37600130240476,0.18952659338603,1.00452917936814,1.74747342544138,0.0470138587316493,0.0499779749736109,0.0440497424896877
"541","15-44","2024/25",2024,36,2024-09-08,3.316365457,6.632730914,"RCGP",1.33929851865451,7,0.442882707009603,0.128815189740036,88,1.22857725410325,1.44182105222914,0.188385684605961,1.07258511040146,1.81105699405683,0.0658197498243833,0.0680559310333173,0.0635835686154493
"542","15-44","2024/25",2024,37,2024-09-15,4.544223948,9.088447896,"RCGP",1.61824381600684,7,0.278945297352334,0.207928442802199,89,1.5356242857565,1.52892691791058,0.188245632083662,1.1599654790266,1.89788835679456,0.0871058656814392,0.0873803686251464,0.086831362737732
"543","15-44","2024/25",2024,38,2024-09-22,8.60648475,20.08179775,"RCGP",2.20898676962705,7,0.590742953620205,0.437523652660714,90,2.16406812157084,1.6385446126326,0.189205311769172,1.26770220156502,2.00938702370017,0.109617694722016,0.107736722538417,0.111498666905616
"544","15-44","2024/25",2024,39,2024-09-29,3.57009737777778,16.0654382,"RCGP",1.40366692491221,7,-0.805319844714833,0.0214561354192353,91,1.30021819516891,1.77061023885156,0.190763060127589,1.39671464100148,2.14450583670163,0.132065626218958,0.129012439436459,0.135118813001457
"545","15-44","2024/25",2024,40,2024-10-06,13.42611621,21.481785936,"RCGP",2.63376594130817,7,1.23009901639596,0.338507375100443,92,2.6046223507172,1.9238697043307,0.192090950384394,1.54737144157729,2.30036796708411,0.153259465479146,0.15065680057581,0.155862130382483
"546","15-44","2024/25",2024,41,2024-10-13,8.95074414,23.86865104,"RCGP",2.24609348337897,7,-0.387672457929197,0.0123689045839757,93,2.20284697974588,2.09608071726807,0.19247676186185,1.71882626401885,2.4733351705173,0.17221101293737,0.171454822441555,0.172967203433184
"547","15-44","2024/25",2024,42,2024-10-20,13.219560576,36.353791584,"RCGP",2.61882259379649,7,0.372729110417521,0.405051889628094,94,2.58923367477828,2.28427551632743,0.191688242046072,1.90856656191712,2.65998447073773,0.188194799059354,0.189740297898278,0.186649300220429
"548","15-44","2024/25",2024,43,2024-10-27,11.7345200701176,49.871710298,"RCGP",2.50426147014388,7,-0.114561123652611,-0.0431681570547628,95,2.47102069040037,2.48503909439519,0.19009781527223,2.11244737646162,2.85763081232876,0.200763578067769,0.203880814544501,0.197646341591037
"549","15-44","2024/25",2024,44,2024-11-03,13.1064467764286,36.698050974,"RCGP",2.61054370810495,7,0.106282237961067,0.121483408241992,96,2.58070510252137,2.69476083811705,0.188515791969857,2.32526988585613,3.06425179037797,0.209721743721857,0.212822509394507,0.206620978049206
