"","Source","Year","Week","Season","date","cases_H3","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"1161","FluNet",2025,24,"2024/25",2025-06-15,0,-1.09861228866811,0,2001,-2.30258509299405,-1.59025450060626,0.319086326049974,-2.21566369966421,-0.964845301548315,-0.117743502272483,-0.116648970443361,-0.118838034101606
"1162","FluNet",2025,25,"2024/25",2025-06-22,0,0,-0.366204096222703,2003,-2.30258509299405,-1.75155835873045,0.320003879174015,-2.37876596191152,-1.12435075554938,-0.0806519290620943,-0.081551131123655,-0.0797527270005335
"1163","FluNet",2025,26,"2024/25",2025-06-29,0,0,-0.366204096222703,2005,-2.30258509299405,-1.83938660641556,0.322404461878937,-2.47129935169828,-1.20747386113284,-0.043914123842554,-0.0462666948933776,-0.0415615527917305
"1164","FluNet",2025,27,"2025/26",2025-07-06,0,0,0,2007,-2.30258509299405,-1.85769750010507,0.324416505298389,-2.49355385048991,-1.22184114972022,-0.00915544684475356,-0.0111272493958163,-0.00718364429369078
"1165","FluNet",2025,28,"2025/26",2025-07-13,0,0,0,2009,-2.30258509299405,-1.8127544897021,0.324216341208321,-2.44821851847041,-1.17729046093379,0.0224715052014828,0.0226676660097496,0.022275344393216
"1166","FluNet",2025,29,"2025/26",2025-07-20,0,0,0,2011,-2.30258509299405,-1.71213967438913,0.321442568980757,-2.34216710959141,-1.08211223918684,0.050307407656487,0.0530257044394999,0.0475891108734742
"1167","FluNet",2025,30,"2025/26",2025-07-27,0,0,0,2013,-2.30258509299405,-1.56388406844334,0.317689021102339,-2.18655454980392,-0.941213587082751,0.0741278029728959,0.0778062798937453,0.0704493260520463
"1168","FluNet",2025,31,"2025/26",2025-08-03,1,1.09861228866811,0.366204096222703,2015,0.0953101798043249,-1.37582982403641,0.315627741048978,-1.9944601964924,-0.75719945158041,0.0940271222034647,0.0960471766557587,0.0920070677511707
"1169","FluNet",2025,32,"2025/26",2025-08-10,1,0,0.366204096222703,2017,0.0953101798043249,-1.15528055728476,0.317070331669193,-1.77673840735638,-0.533822707213145,0.110274633375821,0.10886089456801,0.111688372183632
"1170","FluNet",2025,33,"2025/26",2025-08-17,0,-1.09861228866811,0,2019,-2.30258509299405,-0.908931531821513,0.321311997535759,-1.5387030469916,-0.279160016651425,0.123174512731625,0.11901768018239,0.12733134528086
"1171","FluNet",2025,34,"2025/26",2025-08-24,3,1.94591014905531,0.282432620129068,2021,1.1314021114911,-0.643014926307241,0.325281086894171,-1.28056585661982,-0.0054639959946664,0.132958302757136,0.129068595185893,0.136848010328379
"1172","FluNet",2025,35,"2025/26",2025-08-31,1,-0.847297860387204,1.11022302462516e-16,2023,0.0953101798043249,-0.363556038732948,0.325449280657745,-1.00143662882213,0.274324551356232,0.139729443787147,0.139564613898844,0.139894273675449
"1173","FluNet",2025,36,"2025/26",2025-09-07,2,0.510825623765991,0.5364793041447,2025,0.741937344729377,-0.0766214776585762,0.320035125332807,-0.703890323310878,0.550647367993726,0.143467280537186,0.148773152755625,0.138161408318747
"1174","FluNet",2025,37,"2025/26",2025-09-14,4,0.587786664902119,0.0837714760936354,2027,1.41098697371026,0.211548372736476,0.310260077606897,-0.396561379373043,0.819658124845995,0.144084925197526,0.153664471968918,0.134505378426134
"1175","FluNet",2025,38,"2025/26",2025-09-21,0,-2.19722457733622,-0.366204096222703,2029,-2.30258509299405,0.494596111857615,0.300096405295614,-0.0935928425217888,1.08278506623702,0.14152386956057,0.151484268425627,0.131563470695512
"1176","FluNet",2025,39,"2025/26",2025-09-28,0,0,-0.5364793041447,2031,-2.30258509299405,0.766317031771596,0.294268569952996,0.189550634663725,1.34308342887947,0.135860459956991,0.141571738592757,0.130149181321224
"1177","FluNet",2025,40,"2025/26",2025-10-05,3,1.94591014905531,-0.0837714760936355,2033,1.1314021114911,1.02111033043227,0.295196539120328,0.44252511375643,1.59969554710811,0.127396649330338,0.126487239546353,0.128306059114323
"1178","FluNet",2025,41,"2025/26",2025-10-12,4,0.251314428280906,0.732408192445406,2035,1.41098697371026,1.25453101909466,0.301347230137315,0.663890448025524,1.8451715901638,0.116710344331194,0.110682667134547,0.122738021527842
"1179","FluNet",2025,42,"2025/26",2025-10-19,2,-0.587786664902119,0.5364793041447,2037,0.741937344729377,1.46382785064974,0.308962692297823,0.858260973746008,2.06939472755347,0.10464841577754,0.0971852628602421,0.112111568694838
"1180","FluNet",2025,43,"2025/26",2025-10-26,35,2.65324196460721,0.772256575995334,2039,3.55820113047182,1.64834069321341,0.315676132369921,1.02961547376836,2.26706591265845,0.0922564212818324,0.0856772500111765,0.0988355925524884
"1181","FluNet",2025,44,"2025/26",2025-11-02,19,-0.599118230911669,0.488779022931142,2041,2.94968833505258,1.80964337681024,0.323188567583417,1.17619378434675,2.44309296927374,0.080651341798419,0.0732891552891934,0.0880135283076446
"1182","FluNet",2025,45,"2025/26",2025-11-09,11,-0.528067430200497,0.50868543449835,2043,2.40694510831829,1.9513521057653,0.337380076755984,1.29008715532357,2.61261705620703,0.0708543644775268,0.0569466854884109,0.0847620434666427
"1183","FluNet",2025,46,"2025/26",2025-11-16,6,-0.570544858467613,-0.56591017319326,2045,1.80828877117927,2.07856837220561,0.365207796435861,1.36276109119133,2.7943756532199,0.0636081332201577,0.0363369679338781,0.0908792985064373
"1184","FluNet",2025,47,"2025/26",2025-11-23,12,0.653926467406664,-0.148228607087148,2047,2.4932054526027,2.19697840770487,0.41007012740965,1.39324095798196,3.00071585742779,0.0592050177496308,0.0152399333953182,0.103170102103944
"1185","FluNet",2025,48,"2025/26",2025-11-30,7,-0.510825623765991,-0.142481338275647,2049,1.96009478404727,2.31167703034689,0.470102231673346,1.39027665626713,3.23307740442664,0.0573493113210064,-0.00148215085741576,0.116180773499428
"1186","RCGP",2023,1,"2022/23",2023-01-08,1506.7496094688,NA,NA,1747,7.3177763990009,5.71372917564336,0.291123242193526,5.14312762094405,6.28433073034267,NA,NA,NA
"1187","RCGP",2023,2,"2022/23",2023-01-15,372.347354969302,-1.396872718391,NA,1749,5.92009569889027,5.26410762463127,0.251430405702597,4.77130402945418,5.75691121980836,-0.224810775506041,-0.185911795744931,-0.263709755267151
"1188","RCGP",2023,3,"2022/23",2023-01-22,97.1327026563158,-1.33995659438049,NA,1751,4.5771071019622,4.80827755533064,0.221155484574842,4.37481280556394,5.24174230509733,-0.227915034650319,-0.198245611945119,-0.257584457355519
"1189","RCGP",2023,4,"2022/23",2023-01-29,53.1571106254286,-0.598598507915127,-1.1118092735622,1753,3.97513132854671,4.33807777425408,0.202607990983519,3.94096611192639,4.73518943658178,-0.235099890538277,-0.21692334681878,-0.253276434257774
"1190","RCGP",2023,5,"2022/23",2023-02-05,30.7507262157895,-0.540571382763409,-0.826375495019674,1755,3.42916029029441,3.84508023506413,0.194875868176279,3.46312353343863,4.22703693668964,-0.246498769594974,-0.238921289243879,-0.254076249946068
"1191","RCGP",2023,6,"2022/23",2023-02-12,11.03482015075,-0.996672314925972,-0.711947401868169,1757,2.41007714887256,3.32289978452789,0.193598666287523,2.94344639860435,3.70235317045144,-0.26109022526812,-0.259838567417139,-0.262341883119101
"1192","RCGP",2023,7,"2022/23",2023-02-19,5.559434311,-0.643753852187459,-0.72699918329228,1759,1.73332394216725,2.76902385433856,0.193539840072037,2.38968576779736,3.14836194087975,-0.276937965094669,-0.276880315403492,-0.276995614785845
"1193","RCGP",2023,8,"2022/23",2023-02-26,9.67214281831579,0.518036440094855,-0.374129909006192,1761,2.27953576834352,2.18602938160267,0.191209423660106,1.81125891122886,2.56079985197648,-0.291497236367944,-0.289213428284252,-0.293781044451636
"1194","RCGP",2023,9,"2022/23",2023-03-05,8.55101568776471,-0.116775905692404,-0.080831105928336,1763,2.15767673460137,1.58209699343651,0.185859160661812,1.21781303853936,1.94638094833366,-0.301966194083078,-0.296722936344749,-0.307209451821407
"1195","RCGP",2023,10,"2022/23",2023-03-12,8.34280922222223,-0.0232723706209259,0.125996054593842,1765,2.13331509946171,0.970793442178796,0.179274971653529,0.619414497737878,1.32217238661971,-0.305651775628859,-0.299199270400742,-0.312104280856975
"1196","RCGP",2023,11,"2022/23",2023-03-19,3.19807612766667,-0.871791892560002,-0.33728005629111,1767,1.19333930685058,0.37016313579597,0.174765874479545,0.0276220218160619,0.712704249775879,-0.300315153191413,-0.295896237960908,-0.304734068421917
"1197","RCGP",2023,12,"2022/23",2023-03-26,2.86873601653333,-0.093275114195494,-0.329446459125474,1769,1.08813627856937,-0.198761240181161,0.175301919232885,-0.542353001877616,0.144830521515294,-0.284462187988566,-0.284987511846839,-0.283936864130293
"1198","RCGP",2023,13,"2022/23",2023-04-02,0,-1.9076847852902,-0.957583930681898,1771,-2.30258509299405,-0.713859582588834,0.181476114470086,-1.0695527669502,-0.358166398227466,-0.257549171203836,-0.263599882536293,-0.25149845987138
"1199","RCGP",2023,14,"2022/23",2023-04-09,0,0,-0.666986633161897,1773,-2.30258509299405,-1.15402509231875,0.19102769973132,-1.52843938379213,-0.779610800845358,-0.220082754864956,-0.229443308420965,-0.210722201308946
"1200","RCGP",2023,15,"2022/23",2023-04-16,0,0,-0.635894928430066,1775,-2.30258509299405,-1.5012335369001,0.200344101693424,-1.89390797621921,-1.10855909758099,-0.173604222290676,-0.182734296213538,-0.164474148367813
"1201","RCGP",2023,16,"2022/23",2023-04-23,0,0,0,1777,-2.30258509299405,-1.74235500258616,0.206308169713355,-2.14671901522433,-1.33799098994798,-0.12056073284303,-0.126405519502563,-0.114715946183497
"1202","RCGP",2023,17,"2022/23",2023-04-30,0,0,0,1779,-2.30258509299405,-1.87051181160239,0.20734330596601,-2.27690469129577,-1.46411893190901,-0.0640784045081176,-0.0650928380357187,-0.0630639709805165
"1203","RCGP",2023,18,"2022/23",2023-05-07,0,0,0,1781,-2.30258509299405,-1.88583708587733,0.203713789738195,-2.28511611376419,-1.48655805799047,-0.00766263713746862,-0.00410571123421044,-0.0112195630407268
"1204","RCGP",2023,19,"2022/23",2023-05-14,0,0,0,1783,-2.30258509299405,-1.79555452313977,0.197349311688046,-2.18235917404834,-1.4087498722312,0.0451412813687803,0.0513784698579263,0.0389040928796343
"1205","RCGP",2023,20,"2022/23",2023-05-21,0,0,0,1785,-2.30258509299405,-1.61337380898776,0.191211329380136,-1.98814801457282,-1.23859960340269,0.0910903570760057,0.0971055797377581,0.0850751344142532
"1206","RCGP",2023,21,"2022/23",2023-05-28,1.4116380408,1.34110766806288,0.447035889354295,1787,0.41319385809345,-1.35826940651404,0.188113819910374,-1.72697249353837,-0.989566319489704,0.12755220123686,0.130587760517227,0.124516641956494
"1207","RCGP",2023,22,"2022/23",2023-06-04,1.52477966966667,0.057500402032978,0.466202690031954,1789,0.485372218691395,-1.0527751007595,0.189314931819252,-1.42383236712523,-0.68171783439376,0.152747152877271,0.15157006320657,0.153924242547971
"1208","RCGP",2023,23,"2022/23",2023-06-11,0.452101634,-0.7545443810216,0.214687896358087,1791,-0.594023130087751,-0.72097559712588,0.193865745761655,-1.10095245881872,-0.340998735433036,0.165899751816808,0.161439954153253,0.170359549480362
"1209","RCGP",2023,24,"2022/23",2023-06-18,1.401553189,0.691754511607915,-0.00176315579356893,1793,0.40650003172326,-0.386404555526284,0.199345373418333,-0.777121487426216,0.00431237637364762,0.167285520799798,0.161915485696254,0.172655555903342
"1210","RCGP",2023,25,"2022/23",2023-06-25,0.735935135,-0.430843142237307,-0.164544337216997,1795,-0.179204258620592,-0.0700630253463334,0.203280451035707,-0.46849270937632,0.328366658683653,0.158170765089975,0.154314389024948,0.162027141155003
