y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,days_from_start,day_of_year,plot_label,peak_time,day_shifted,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,total_cases,H1_prop,H3_prop,H1_adj,H3_adj,Season,total,gr,gr_smooth
0.3147568080414149,0.22875537163565873,0.40496460908718757,0.058000569292328476,0.5858503257327727,0.9923333333333333,70,total,2012,44,2012-10-29,2012/13,119,303,Pre-pandemic,345,-42,10,0,3,5,2.1,18,0,1,0,13,2012/13,18,0.9358171542245104,0.5384936483856007
0.3190020712714223,0.233804669128456,0.40428895134729104,0.0820738812812813,0.5894379443719953,0.9946666666666667,71,total,2012,45,2012-11-05,2012/13,126,310,Pre-pandemic,345,-35,3,2,1,4,1.1,10,0.6666666666666666,0.3333333333333333,4,2,2012/13,10,-0.5833765144245665,0.22538711253423785
0.37397009260416136,0.289069621378663,0.4597113111109834,0.12101295638337048,0.6242868079061539,0.9986666666666667,72,total,2012,46,2012-11-12,2012/13,133,317,Pre-pandemic,345,-28,7,4,4,12,2.9,27,0.5,0.5,8,8,2012/13,27,0.9869983040384415,0.41757329703884377
0.38276919161946843,0.30387937762871287,0.46249437700805185,0.15229421120340175,0.6149019214820418,0.9993333333333333,73,total,2012,47,2012-11-19,2012/13,140,324,Pre-pandemic,345,-21,5,0,7,24,3.4,36,0,1,0,12,2012/13,36,0.28675913745318,0.4065495203228913
0.4168545239461088,0.33788323879224913,0.4958250207859205,0.19271446654143284,0.6359583232487404,0.9996666666666667,74,total,2012,48,2012-11-26,2012/13,147,331,Pre-pandemic,345,-14,1,5,9,32,4.2,47,0.35714285714285715,0.6428571428571429,5,10,2012/13,47,0.2659801356835368,0.23909026568764793
0.5225142767902948,0.44734009317117096,0.5911372379448118,0.3200712531191223,0.7306710680789136,1,75,total,2012,49,2012-12-03,2012/13,154,338,Pre-pandemic,345,-7,4,0,11,50,6,65,0,1,0,15,2012/13,65,0.3236515481921514,0.4658472813418274
0.6266688897330512,0.5619247437651038,0.6938344981993496,0.4424987573674142,0.8179660039449954,1,76,total,2012,50,2012-12-10,2012/13,161,345,Pre-pandemic,345,0,6,4,30,131,14.2,171,0.1176470588235294,0.8823529411764706,5,35,2012/13,171,0.9663236316836243,0.46067861325312315
0.47477225147771884,0.4203338225109585,0.5367804098497473,0.3036100853554857,0.6455387350453421,1,77,total,2012,51,2012-12-17,2012/13,168,352,Pre-pandemic,345,7,8,6,41,214,21.5,269,0.1276595744680851,0.8723404255319149,7,48,2012/13,269,0.45283487683471246,0.5021975480985063
0.20521026038976276,0.15225023076623923,0.26323206404266886,0.04797308253947667,0.35875159242071486,0.9946666666666667,78,total,2012,52,2012-12-24,2012/13,175,359,Pre-pandemic,345,14,15,18,45,237,25.7,315,0.2857142857142857,0.7142857142857143,22,56,2012/13,315,0.15780699103036885,0.47515426193521426
-0.03299924669578491,-0.08648852404599072,0.019761303366918614,-0.18946285664513227,0.11785128790393917,0.3303333333333333,79,total,2012,1,2012-12-31,2012/13,182,366,Pre-pandemic,345,21,26,8,62,225,24,321,0.11428571428571428,0.8857142857142857,11,85,2012/13,321,0.018862552332239407,0.3989570129702363
-0.2412342671312553,-0.29802529454636284,-0.1866841684993792,-0.4030042721413652,-0.0810431560552859,6.666666666666666e-4,80,total,2013,2,2013-01-07,2012/13,189,372,Pre-pandemic,345,27,25,33,44,142,19.7,244,0.42857142857142855,0.5714285714285714,44,58,2012/13,244,-0.274174623696554,0.08883244912519167
-0.21301595224967995,-0.2685858141704758,-0.1565865779298663,-0.37643770369571317,-0.04960686348940017,0.005,81,total,2013,3,2013-01-14,2012/13,196,379,Pre-pandemic,345,34,21,18,39,76,15.7,154,0.3157894736842105,0.6842105263157895,25,53,2012/13,154,-0.45997623507284435,-0.1393703288516975
0.11865832118913833,0.06452859285911838,0.17831693705364904,-0.044689024264524806,0.28053111577763085,0.925,82,total,2013,4,2013-01-21,2012/13,203,386,Pre-pandemic,345,41,37,15,49,117,20.3,218,0.234375,0.765625,24,77,2012/13,218,0.3473519308815133,-0.09198409388891143
0.20248554067080526,0.14794550629911507,0.2585313167582137,0.04535801887604497,0.3663504006174816,0.9933333333333333,83,total,2013,5,2013-01-28,2012/13,210,393,Pre-pandemic,345,48,70,30,69,127,25.5,296,0.30303030303030304,0.696969696969697,51,118,2012/13,296,0.3057435618999623,-0.020263841496980683
0.05990242088094444,0.004660251529461146,0.11160376458610033,-0.09618377038690192,0.20979222263626743,0.7633333333333333,84,total,2013,6,2013-02-04,2012/13,217,400,Pre-pandemic,345,55,45,32,87,108,23,272,0.2689075630252101,0.7310924369747899,44,120,2012/13,272,-0.08452758931834495,0.02714791709757157
0.04467885947826389,-0.008477528166016768,0.09856349556889321,-0.1091948032378943,0.1960722068345542,0.714,85,total,2013,7,2013-02-11,2012/13,224,407,Pre-pandemic,345,62,54,33,94,107,21.9,288,0.25984251968503935,0.7401574803149606,47,134,2012/13,288,0.057137996301282086,0.15642647494110318
0.019093194464404384,-0.034634326850206065,0.07104521276052655,-0.1289589978047037,0.17185036250360475,0.5933333333333334,86,total,2013,8,2013-02-18,2012/13,231,414,Pre-pandemic,345,69,52,50,139,84,26.3,325,0.26455026455026454,0.7354497354497355,64,177,2012/13,325,0.12082518521937675,0.09979478852556906
-0.13587986131021168,-0.19123788623434823,-0.08131457290997623,-0.29986075945420027,0.023646032202669476,0.044,87,total,2013,9,2013-02-25,2012/13,238,421,Pre-pandemic,345,76,51,29,117,58,20.6,255,0.19863013698630136,0.8013698630136986,39,158,2012/13,255,-0.24247720216209406,-0.03726040248994504
-0.1101244657017677,-0.16252084782608422,-0.059149567599075636,-0.2636476882098272,0.04500645628594961,0.08266666666666667,88,total,2013,10,2013-03-04,2012/13,245,428,Pre-pandemic,345,83,37,41,90,51,19,219,0.31297709923664124,0.6870229007633588,53,115,2012/13,219,-0.15212737854634484,-0.05416034979694501
-0.019079700170770764,-0.0704103446123081,0.03648716658906204,-0.1762071678505001,0.14836241499035063,0.4073333333333333,89,total,2013,11,2013-03-11,2012/13,252,435,Pre-pandemic,345,90,48,31,121,42,20.8,242,0.20394736842105263,0.7960526315789473,41,159,2012/13,242,0.09982261734259187,-0.04348919453661757
-0.08040771175371209,-0.13539233362550673,-0.02620989020856479,-0.24512053415071916,0.07789422324447634,0.16166666666666665,90,total,2013,12,2013-03-18,2012/13,259,442,Pre-pandemic,345,97,66,31,97,29,18,223,0.2421875,0.7578125,47,147,2012/13,223,-0.08173076250552598,-0.09412818146784326
-0.1671336267033583,-0.22668672253725397,-0.1099483389880016,-0.3418252065692628,0.004054595011333808,0.027333333333333334,91,total,2013,13,2013-03-25,2012/13,266,449,Pre-pandemic,345,104,40,22,82,30,16.4,174,0.2115384615384615,0.7884615384615384,30,114,2012/13,174,-0.24799025466434343,-0.0955064445934056
-0.1774069304244601,-0.23561060565271563,-0.11516378872484578,-0.3431160326077035,-0.0038694757700219696,0.023666666666666666,92,total,2013,14,2013-04-01,2012/13,273,456,Pre-pandemic,345,111,33,20,64,18,14.1,135,0.23809523809523808,0.7619047619047619,28,89,2012/13,135,-0.2536146018079902,-0.12087825040881695
