y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,days_from_start,day_of_year,plot_label,peak_time,day_shifted,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,total_cases,H1_prop,H3_prop,H1_adj,H3_adj,Season,total,gr,gr_smooth
0.0207821432409504,-0.09003557775672688,0.1245285514895963,-0.3001409227584169,0.32670703092316633,0.548,60,total,2012,34,2012-08-20,2012/13,49,233,Pre-pandemic,345,-112,1,0,2,0,0.9,3,0,1,0,3,2012/13,3,0.3894647667617233,8.326672684688674e-17
0.019172040446186367,-0.08378534364576717,0.13047259554520108,-0.285460309084057,0.33434365351820916,0.5563333333333333,61,total,2012,35,2012-08-27,2012/13,56,240,Pre-pandemic,345,-105,1,0,0,1,0.7,2,0,0,0,0,2012/13,2,-0.38946476676172315,8.326672684688674e-17
0.04141679108309876,-0.06633320882518745,0.14505881693104536,-0.2651852906767564,0.3329048275712325,0.6033333333333334,62,total,2012,36,2012-09-03,2012/13,63,247,Pre-pandemic,345,-98,0,0,0,2,0.6,2,0,0,0,0,2012/13,2,0,-0.09736619169043073
0.05747322294156498,-0.04744386891100705,0.16267817304462387,-0.24052092712288378,0.3642404175582157,0.6483333333333333,63,total,2012,37,2012-09-10,2012/13,70,254,Pre-pandemic,345,-91,0,0,0,3,0.8,3,0,0,0,0,2012/13,3,0.3894647667617233,0.09736619169043087
0.06472092453689848,-0.029827114935267685,0.16990712296040839,-0.2284629869789622,0.36235739586753907,0.68,64,total,2012,38,2012-09-17,2012/13,77,261,Pre-pandemic,345,-84,2,1,0,2,1.2,5,1,0,3,0,2012/13,5,0.49783842823917945,0.12445960705979492
0.07392274907197749,-0.025478450193978763,0.1737803472040615,-0.21078076898174986,0.35492183836246505,0.6923333333333334,65,total,2012,39,2012-09-24,2012/13,84,268,Pre-pandemic,345,-77,1,0,0,3,0.9,4,0,0,0,0,2012/13,4,-0.21825356602001794,0.1672624072452212
0.09715657043801318,9.432851741376092e-4,0.20534786331058275,-0.1871323252981261,0.40464198443244487,0.7523333333333333,66,total,2012,40,2012-10-01,2012/13,91,275,Pre-pandemic,345,-70,0,1,0,1,0.3,2,1,0,1,0,2012/13,2,-0.6690496289808848,0
0.1638037939389551,0.06689680783108087,0.26318595120304544,-0.1292273757841548,0.4603420803570416,0.8736666666666667,67,total,2012,41,2012-10-08,2012/13,98,282,Pre-pandemic,345,-63,1,1,0,2,0.6,4,1,0,2,0,2012/13,4,0.6690496289808847,0.06989621555479038
0.2290520601681555,0.13268732288453217,0.3292740189692877,-0.05561005037386135,0.5144739372408818,0.9393333333333334,68,total,2012,42,2012-10-15,2012/13,105,289,Pre-pandemic,345,-56,3,0,1,1,0.8,5,0,1,0,4,2012/13,5,0.21825356602001797,-1.3877787807814457e-17
0.28455714273088717,0.18570457230243875,0.37592760912033735,0.012596248465335424,0.5594842938941563,0.9783333333333334,69,total,2012,43,2012-10-22,2012/13,112,296,Pre-pandemic,345,-49,1,1,4,1,1,7,0.2,0.8,1,5,2012/13,7,0.3308542443169896,0.13727695258425188
