"","Source","Year","Week","Season","date","cases_H3","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"928","UKHSA",2013,43,"2013/14",2013-10-21,3.5,0.780158557549575,0.693147180559945,325,1.28093384546206,0.0313724959912281,0.291666194683467,-0.540293245588367,0.603038237570823,0.0706365116495717,0.078068984933486,0.0632040383656575
"929","UKHSA",2013,44,"2013/14",2013-10-28,6,0.485507815781701,0.854983119153846,327,1.80828877117927,0.189191991254887,0.285698363479098,-0.370776801164146,0.749160783673919,0.0789097476318293,0.0847582222121107,0.0730612730515479
"930","UKHSA",2013,45,"2013/14",2013-11-04,1.09090909090909,-1.40749656877049,-0.0472767318130725,329,0.174716957408735,0.36436070084391,0.288452688570565,-0.201006568754398,0.929727970442218,0.0875843547945118,0.084885116204874,0.0902835933841495
"931","UKHSA",2013,46,"2013/14",2013-11-11,4,1.03977178864518,0.0392610118854611,331,1.41098697371026,0.557681367119145,0.300106195026579,-0.0305267751329491,1.14588950937124,0.0966603331376173,0.0852398968107243,0.10808076946451
"932","UKHSA",2013,47,"2013/14",2013-11-18,1.125,-1.01856958099457,-0.462098120373297,333,0.20294084399669,0.769956732441441,0.313825984112898,0.154857803580161,1.38505566130272,0.106137682661148,0.0926922893565551,0.119583075965741
"933","UKHSA",2013,48,"2013/14",2013-11-25,0,-1.17865499634165,-0.385817596230348,335,-2.30258509299405,1.00198953564873,0.32009040359558,0.374612344601396,1.62936672669607,0.116016401603646,0.109877270510618,0.122155532696675
"934","UKHSA",2013,49,"2013/14",2013-12-02,4,2.19722457733622,0,337,1.41098697371026,1.25340354399454,0.313537160875269,0.63887070867901,1.86793637931007,0.125707004172902,0.132129182038807,0.119284826306997
"935","UKHSA",2013,50,"2013/14",2013-12-09,11.5,0.980829253011726,0.6664662780021,339,2.45100509811232,1.51930887331797,0.300870900997162,0.929601907363529,2.1090158392724,0.132952664661714,0.145365599342259,0.120539729981169
"936","UKHSA",2013,51,"2013/14",2013-12-16,16.8,0.365799851715733,1.18128456068789,341,2.82731362192903,1.79373563511654,0.292249226133628,1.22092715189463,2.36654411833845,0.137213380899288,0.145662622265551,0.128764139533025
"937","UKHSA",2013,52,"2013/14",2013-12-23,7.72727272727273,-0.743251923596223,0.201125727043745,343,2.05761413863531,2.07071394088779,0.294138188401425,1.494203091621,2.64722479015458,0.138489152885625,0.136637969863184,0.140340335908065
"938","UKHSA",2013,1,"2013/14",2013-12-30,18.962962962963,0.861058746405167,0.161202224841559,345,2.94774734065438,2.34427390212924,0.305084540255065,1.74630820322932,2.94223960102917,0.136779980620727,0.126052555804159,0.147507405437294
"939","UKHSA",2014,2,"2013/14",2014-01-06,10.9090909090909,-0.534102838539209,-0.138765338576755,347,2.39872137776068,2.60844563033842,0.316785894751754,1.98754527662499,3.22934598405186,0.132085864104589,0.120618536697835,0.143553191511343
"940","UKHSA",2014,3,"2013/14",2014-01-13,11.8333333333333,0.0778951382026465,0.134950348689535,349,2.47933560473854,2.85726681137446,0.319336488251766,2.231367294401,3.48316632834792,0.12441059051802,0.121911008888008,0.126910172148033
"941","UKHSA",2014,4,"2013/14",2014-01-20,20.5116279069767,0.532770370362606,0.0255208900086814,351,3.02585537805079,3.08532426895709,0.310186503837493,2.47735872143561,3.69328981647858,0.114028728791315,0.122995713517303,0.105061744065327
"942","UKHSA",2014,5,"2013/14",2014-01-27,19.6,-0.0443561792736906,0.188769776430521,353,2.98061863574394,3.28811541547228,0.297877939677193,2.70427465370498,3.87195617723958,0.101395573257593,0.113457966134686,0.0893331803804989
