"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","White Irish","ONS 2021 19+1","Age 80 to 84","1.825211056","% of Total Age Group Population","5.650085484","% of Total Ethnic Group Population","3470","190115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","White Irish","ONS 2021 19+1","Age 80 to 84","1.568139889","% of Total Age Group Population","4.999680327","% of Total Ethnic Group Population","3910","249340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","White Irish","ONS 2021 19+1","Age 80 to 84","0.918563596","% of Total Age Group Population","5.04493142","% of Total Ethnic Group Population","1600","174185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","White Irish","ONS 2021 19+1","Age 80 to 84","2.208342628","% of Total Age Group Population","7.236086457","% of Total Ethnic Group Population","3465","156905"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","White Irish","ONS 2021 19+1","Age 80 to 84","0.97953165","% of Total Age Group Population","5.535714286","% of Total Ethnic Group Population","1395","142415"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.037291637","% of Total Age Group Population","0.83407145","% of Total Ethnic Group Population","565","1515085"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.037514901","% of Total Age Group Population","0.833268437","% of Total Ethnic Group Population","535","1426100"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","88785"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.019624004","% of Total Age Group Population","0.54884742","% of Total Ethnic Group Population","25","127395"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.040886656","% of Total Age Group Population","0.783435926","% of Total Ethnic Group Population","70","171205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.014222222","% of Total Age Group Population","0.286738351","% of Total Ethnic Group Population","20","140625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","73140"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.007889961","% of Total Age Group Population","0.264084507","% of Total Ethnic Group Population","15","190115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.060158819","% of Total Age Group Population","0.89793475","% of Total Ethnic Group Population","150","249340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.031575624","% of Total Age Group Population","0.865460268","% of Total Ethnic Group Population","55","174185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.035053058","% of Total Age Group Population","0.891410049","% of Total Ethnic Group Population","55","156905"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Gypsy or Irish Traveller","ONS 2021 19+1","Age 80 to 84","0.021065197","% of Total Age Group Population","0.51457976","% of Total Ethnic Group Population","30","142415"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Roma","ONS 2021 19+1","Age 80 to 84","0.017490768","% of Total Age Group Population","0.262506191","% of Total Ethnic Group Population","265","1515085"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Roma","ONS 2021 19+1","Age 80 to 84","0.017530327","% of Total Age Group Population","0.252232255","% of Total Ethnic Group Population","250","1426100"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Roma","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","88785"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Roma","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","127395"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Roma","ONS 2021 19+1","Age 80 to 84","0.008761426","% of Total Age Group Population","0.15625","% of Total Ethnic Group Population","15","171205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Roma","ONS 2021 19+1","Age 80 to 84","0.042666667","% of Total Age Group Population","0.159426066","% of Total Ethnic Group Population","60","140625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Roma","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","73140"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Roma","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","190115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Roma","ONS 2021 19+1","Age 80 to 84","0.026068822","% of Total Age Group Population","0.51060487","% of Total Ethnic Group Population","65","249340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Roma","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","174185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Roma","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","156905"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Roma","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","142415"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other White Background","ONS 2021 19+1","Age 80 to 84","1.673173452","% of Total Age Group Population","0.691109497","% of Total Ethnic Group Population","25350","1515085"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other White Background","ONS 2021 19+1","Age 80 to 84","1.729542108","% of Total Age Group Population","0.688007498","% of Total Ethnic Group Population","24665","1426100"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other White Background","ONS 2021 19+1","Age 80 to 84","0.76589514","% of Total Age Group Population","0.819622732","% of Total Ethnic Group Population","680","88785"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other White Background","ONS 2021 19+1","Age 80 to 84","1.024373013","% of Total Age Group Population","0.504952794","% of Total Ethnic Group Population","1305","127395"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other White Background","ONS 2021 19+1","Age 80 to 84","1.790251453","% of Total Age Group Population","0.71346268","% of Total Ethnic Group Population","3065","171205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other White Background","ONS 2021 19+1","Age 80 to 84","6.499555556","% of Total Age Group Population","0.708055095","% of Total Ethnic Group Population","9140","140625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other White Background","ONS 2021 19+1","Age 80 to 84","0.437517091","% of Total Age Group Population","0.618297749","% of Total Ethnic Group Population","320","73140"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other White Background","ONS 2021 19+1","Age 80 to 84","0.733766405","% of Total Age Group Population","0.550360989","% of Total Ethnic Group Population","1395","190115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other White Background","ONS 2021 19+1","Age 80 to 84","1.981230448","% of Total Age Group Population","0.842177045","% of Total Ethnic Group Population","4940","249340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other White Background","ONS 2021 19+1","Age 80 to 84","1.171168585","% of Total Age Group Population","0.791910095","% of Total Ethnic Group Population","2040","174185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other White Background","ONS 2021 19+1","Age 80 to 84","0.863579873","% of Total Age Group Population","0.545140006","% of Total Ethnic Group Population","1355","156905"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other White Background","ONS 2021 19+1","Age 80 to 84","0.775901415","% of Total Age Group Population","0.530981956","% of Total Ethnic Group Population","1105","142415"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Other","ONS 2021 5+1","Age 80 to 84","0.620427237","% of Total Age Group Population","0.748625198","% of Total Ethnic Group Population","9400","1515085"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Other","ONS 2021 5+1","Age 80 to 84","0.651426969","% of Total Age Group Population","0.755831455","% of Total Ethnic Group Population","9290","1426100"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Other","ONS 2021 5+1","Age 80 to 84","0.078842147","% of Total Age Group Population","0.265302255","% of Total Ethnic Group Population","70","88785"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Other","ONS 2021 5+1","Age 80 to 84","0.28651046","% of Total Age Group Population","0.590089726","% of Total Ethnic Group Population","365","127395"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Other","ONS 2021 5+1","Age 80 to 84","0.356298005","% of Total Age Group Population","0.707656613","% of Total Ethnic Group Population","610","171205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Other","ONS 2021 5+1","Age 80 to 84","3.736888889","% of Total Age Group Population","0.943836773","% of Total Ethnic Group Population","5255","140625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Other","ONS 2021 5+1","Age 80 to 84","0.034181023","% of Total Age Group Population","0.095419847","% of Total Ethnic Group Population","25","73140"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Other","ONS 2021 5+1","Age 80 to 84","0.220918917","% of Total Age Group Population","0.38147139","% of Total Ethnic Group Population","420","190115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Other","ONS 2021 5+1","Age 80 to 84","0.439159381","% of Total Age Group Population","0.807194722","% of Total Ethnic Group Population","1095","249340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Other","ONS 2021 5+1","Age 80 to 84","0.175101186","% of Total Age Group Population","0.626411994","% of Total Ethnic Group Population","305","174185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Other","ONS 2021 5+1","Age 80 to 84","0.528982505","% of Total Age Group Population","0.668303877","% of Total Ethnic Group Population","830","156905"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Other","ONS 2021 5+1","Age 80 to 84","0.200119369","% of Total Age Group Population","0.360828005","% of Total Ethnic Group Population","285","142415"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Arab","ONS 2021 19+1","Age 80 to 84","0.09636423","% of Total Age Group Population","0.43997107","% of Total Ethnic Group Population","1460","1515085"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Arab","ONS 2021 19+1","Age 80 to 84","0.099221653","% of Total Age Group Population","0.441945811","% of Total Ethnic Group Population","1415","1426100"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Arab","ONS 2021 19+1","Age 80 to 84","0.016894746","% of Total Age Group Population","0.129477773","% of Total Ethnic Group Population","15","88785"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Arab","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","127395"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Arab","ONS 2021 19+1","Age 80 to 84","0.037966181","% of Total Age Group Population","0.416666667","% of Total Ethnic Group Population","65","171205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Arab","ONS 2021 19+1","Age 80 to 84","0.593777778","% of Total Age Group Population","0.597345924","% of Total Ethnic Group Population","835","140625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Arab","ONS 2021 19+1","Age 80 to 84","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","73140"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Arab","ONS 2021 19+1","Age 80 to 84","0.060489704","% of Total Age Group Population","0.262287604","% of Total Ethnic Group Population","115","190115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Arab","ONS 2021 19+1","Age 80 to 84","0.062164113","% of Total Age Group Population","0.524445948","% of Total Ethnic Group Population","155","249340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Arab","ONS 2021 19+1","Age 80 to 84","0.014352556","% of Total Age Group Population","0.243309002","% of Total Ethnic Group Population","25","174185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Arab","ONS 2021 19+1","Age 80 to 84","0.06054619","% of Total Age Group Population","0.299071305","% of Total Ethnic Group Population","95","156905"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Arab","ONS 2021 19+1","Age 80 to 84","0.042130394","% of Total Age Group Population","0.236034618","% of Total Ethnic Group Population","60","142415"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.524063006","% of Total Age Group Population","0.859498049","% of Total Ethnic Group Population","7940","1515085"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.552205315","% of Total Age Group Population","0.866398587","% of Total Ethnic Group Population","7875","1426100"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.061947401","% of Total Age Group Population","0.371621622","% of Total Ethnic Group Population","55","88785"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.28651046","% of Total Age Group Population","0.751957149","% of Total Ethnic Group Population","365","127395"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.318331824","% of Total Age Group Population","0.771954674","% of Total Ethnic Group Population","545","171205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","3.143111111","% of Total Age Group Population","1.059990168","% of Total Ethnic Group Population","4420","140625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.034181023","% of Total Age Group Population","0.157629256","% of Total Ethnic Group Population","25","73140"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.160429214","% of Total Age Group Population","0.460342616","% of Total Ethnic Group Population","305","190115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.376995268","% of Total Age Group Population","0.885956645","% of Total Ethnic Group Population","940","249340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.160748629","% of Total Age Group Population","0.728881947","% of Total Ethnic Group Population","280","174185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.468436315","% of Total Age Group Population","0.795196365","% of Total Ethnic Group Population","735","156905"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other Ethnic Background","ONS 2021 19+1","Age 80 to 84","0.157988976","% of Total Age Group Population","0.420050406","% of Total Ethnic Group Population","225","142415"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","All","All","Age 85 and over","100","% of Total Age Group Population","2.440943977","% of Total Ethnic Group Population","1454740","1454740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","All","All","Age 85 and over","100","% of Total Age Group Population","2.42906125","% of Total Ethnic Group Population","1372175","1372175"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","All","All","Age 85 and over","100","% of Total Age Group Population","2.639342917","% of Total Ethnic Group Population","81990","81990"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","All","All","Age 85 and over","100","% of Total Age Group Population","2.425435459","% of Total Ethnic Group Population","118345","118345"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","All","All","Age 85 and over","100","% of Total Age Group Population","2.678022425","% of Total Ethnic Group Population","169640","169640"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","All","All","Age 85 and over","100","% of Total Age Group Population","1.560752761","% of Total Ethnic Group Population","137340","137340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","All","All","Age 85 and over","100","% of Total Age Group Population","2.476213872","% of Total Ethnic Group Population","65520","65520"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","All","All","Age 85 and over","100","% of Total Age Group Population","2.296866836","% of Total Ethnic Group Population","170350","170350"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","All","All","Age 85 and over","100","% of Total Age Group Population","2.726505975","% of Total Ethnic Group Population","252955","252955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","All","All","Age 85 and over","100","% of Total Age Group Population","3.085339092","% of Total Ethnic Group Population","175885","175885"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","All","All","Age 85 and over","100","% of Total Age Group Population","2.467393981","% of Total Ethnic Group Population","146815","146815"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","All","All","Age 85 and over","100","% of Total Age Group Population","2.402372263","% of Total Ethnic Group Population","131650","131650"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Asian","ONS 2021 5+1","Age 85 and over","2.557501684","% of Total Age Group Population","0.674560258","% of Total Ethnic Group Population","37205","1454740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Asian","ONS 2021 5+1","Age 85 and over","2.685881903","% of Total Age Group Population","0.679183947","% of Total Ethnic Group Population","36855","1372175"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Asian","ONS 2021 5+1","Age 85 and over","0.256128796","% of Total Age Group Population","0.236513121","% of Total Ethnic Group Population","210","81990"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Asian","ONS 2021 5+1","Age 85 and over","2.446237695","% of Total Age Group Population","0.74047549","% of Total Ethnic Group Population","2895","118345"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Asian","ONS 2021 5+1","Age 85 and over","1.21728366","% of Total Age Group Population","0.508946616","% of Total Ethnic Group Population","2065","169640"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Asian","ONS 2021 5+1","Age 85 and over","11.07106451","% of Total Age Group Population","0.836524284","% of Total Ethnic Group Population","15205","137340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Asian","ONS 2021 5+1","Age 85 and over","0.587606838","% of Total Age Group Population","0.393158029","% of Total Ethnic Group Population","385","65520"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Asian","ONS 2021 5+1","Age 85 and over","1.643674787","% of Total Age Group Population","0.449781133","% of Total Ethnic Group Population","2800","170350"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Asian","ONS 2021 5+1","Age 85 and over","1.407364946","% of Total Age Group Population","0.547313398","% of Total Ethnic Group Population","3560","252955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Asian","ONS 2021 5+1","Age 85 and over","0.318389857","% of Total Age Group Population","0.352134817","% of Total Ethnic Group Population","560","175885"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Asian","ONS 2021 5+1","Age 85 and over","3.858597555","% of Total Age Group Population","0.71330538","% of Total Ethnic Group Population","5665","146815"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Asian","ONS 2021 5+1","Age 85 and over","2.054690467","% of Total Age Group Population","0.555566966","% of Total Ethnic Group Population","2705","131650"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.156041629","% of Total Age Group Population","0.352003474","% of Total Ethnic Group Population","2270","1454740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.163244484","% of Total Age Group Population","0.355806879","% of Total Ethnic Group Population","2240","1372175"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Bangladeshi","ONS 2021 19+1","Age 85 and over","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","81990"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.029574549","% of Total Age Group Population","0.167104321","% of Total Ethnic Group Population","35","118345"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.082527706","% of Total Age Group Population","0.276324879","% of Total Ethnic Group Population","140","169640"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.906509393","% of Total Age Group Population","0.386585934","% of Total Ethnic Group Population","1245","137340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.030525031","% of Total Age Group Population","0.122699387","% of Total Ethnic Group Population","20","65520"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.096859407","% of Total Age Group Population","0.271292338","% of Total Ethnic Group Population","165","170350"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.027672906","% of Total Age Group Population","0.175702811","% of Total Ethnic Group Population","70","252955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.005685533","% of Total Age Group Population","0.082270671","% of Total Ethnic Group Population","10","175885"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.163471035","% of Total Age Group Population","0.309677419","% of Total Ethnic Group Population","240","146815"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Bangladeshi","ONS 2021 19+1","Age 85 and over","0.060767186","% of Total Age Group Population","0.27600483","% of Total Ethnic Group Population","80","131650"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Chinese","ONS 2021 19+1","Age 85 and over","0.206222418","% of Total Age Group Population","0.673234443","% of Total Ethnic Group Population","3000","1454740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Chinese","ONS 2021 19+1","Age 85 and over","0.21316523","% of Total Age Group Population","0.678394582","% of Total Ethnic Group Population","2925","1372175"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Chinese","ONS 2021 19+1","Age 85 and over","0.073179656","% of Total Age Group Population","0.416088766","% of Total Ethnic Group Population","60","81990"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Chinese","ONS 2021 19+1","Age 85 and over","0.105623389","% of Total Age Group Population","0.544780998","% of Total Ethnic Group Population","125","118345"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Chinese","ONS 2021 19+1","Age 85 and over","0.132633813","% of Total Age Group Population","0.585632483","% of Total Ethnic Group Population","225","169640"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Chinese","ONS 2021 19+1","Age 85 and over","0.749963594","% of Total Age Group Population","0.698305085","% of Total Ethnic Group Population","1030","137340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Chinese","ONS 2021 19+1","Age 85 and over","0.114468864","% of Total Age Group Population","0.519570488","% of Total Ethnic Group Population","75","65520"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Chinese","ONS 2021 19+1","Age 85 and over","0.237745817","% of Total Age Group Population","0.749791725","% of Total Ethnic Group Population","405","170350"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Chinese","ONS 2021 19+1","Age 85 and over","0.152200984","% of Total Age Group Population","0.598662727","% of Total Ethnic Group Population","385","252955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Chinese","ONS 2021 19+1","Age 85 and over","0.076754698","% of Total Age Group Population","0.510204082","% of Total Ethnic Group Population","135","175885"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Chinese","ONS 2021 19+1","Age 85 and over","0.139631509","% of Total Age Group Population","0.616170724","% of Total Ethnic Group Population","205","146815"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Chinese","ONS 2021 19+1","Age 85 and over","0.068363084","% of Total Age Group Population","0.304568528","% of Total Ethnic Group Population","90","131650"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Indian","ONS 2021 19+1","Age 85 and over","1.284078255","% of Total Age Group Population","1.001971223","% of Total Ethnic Group Population","18680","1454740"
