date,group,percentage_h3,percentage_h3_new,percentage_h1n1,percentage_h1n1_new,percentage_b,flu_prop,flu_prop_smooth,Year,Week,ILI,N,ILI_per_100k,Season,Influenza,ILI_plus
2022-06-20,5-18,1,0.6666666666666671,0,0,0,0,0,2022,24,132.98996300000002,9797125,1.3574386669558673,2021/22,0,0
2022-06-27,5-18,1,1.0000000000000004,0,0,0,0.1111111111111111,0.02941176470588235,2022,25,65.86763900000001,9797125,0.6723160008676016,2021/22,1.9372835000000002,1.937283500000001
2022-07-04,5-18,0,0.6666666666666671,0,0,0,0,0.02941176470588235,2022,26,130.17629399999998,9797125,1.3287193334779335,2022/23,3.828714529411764,2.5524763529411776
2022-07-11,5-18,0,0.33333333333333376,0,0,0,0,0.037037037037037035,2022,27,99.53023400000001,9797125,1.0159126682572694,2022/23,3.686304962962963,1.2287683209876559
2022-07-18,5-18,0,4.440892098500626e-16,0,0,0,0,0,2022,28,77.020882,9797125,0.7861580004338008,2022/23,0,0
2022-07-25,5-18,0,4.440892098500626e-16,0,0,0,0,0,2022,29,48.985625,9797125,0.5,2022/23,0,0
2022-08-01,5-18,1,0.33333333333333376,0,0,0,0,0,2022,30,61.697852000000005,9797125,0.6297546678234687,2022/23,0,0
2022-08-08,5-18,0,0.33333333333333376,1,1,0,0,0,2022,31,51.900727,9797125,0.5297546678234686,2022/23,0,0
2022-08-15,5-18,0,0.33333333333333376,1,1,0,0,0,2022,32,43.459720000000004,9797125,0.4435966673896679,2022/23,0,0
2022-08-22,5-18,0,4.440892098500626e-16,1,1,0,0,0,2022,33,42.103602,9797125,0.42975466782346866,2022/23,0,0
2022-08-29,5-18,1,0.33333333333333376,0,0,0,0,0,2022,34,36.476264,9797125,0.37231600086760147,2022/23,0,0
2022-09-05,5-18,0,0.33333333333333376,0,0,0,0,0,2022,35,39.289933000000005,9797125,0.40103533434553507,2022/23,0,0
2022-09-12,5-18,0.6666666666666666,0.5555555555555559,0.3333333333333333,0.3333333333333333,0,0,0,2022,36,28.13669,9797125,0.2871933347793358,2022/23,0,0
2022-09-19,5-18,0,0.22222222222222263,0,0,0,0,0,2022,37,106.41225700000001,9797125,1.086158000433801,2022/23,0,0
2022-09-26,5-18,0,0.22222222222222263,0,0,0,0,0,2022,38,98.07268300000003,9797125,1.0010353343455354,2022/23,0,0
2022-10-03,5-18,0.6363636363636364,0.21212121212121252,0.36363636363636365,0.36363636363636365,0,0.14634146341463414,0.075,2022,39,147.261174,9797125,1.5031060030366052,2022/23,11.04458805,2.342791404545459
2022-10-10,5-18,0.4,0.34545454545454585,0.5,0.5,0.1,0.06896551724137931,0.0851063829787234,2022,40,233.977748,9797125,2.388228669124871,2022/23,19.912999829787232,6.879036304835597
2022-10-17,5-18,0.5714285714285714,0.5359307359307363,0.42857142857142855,0.42857142857142855,0,0.2,0.14782608695652175,2022,41,274.623799,9797125,2.8031060030366053,2022/23,40.59656159130435,21.756945129885203
2022-10-24,5-18,0.6,0.5238095238095242,0.4,0.4,0,0.35135135135135137,0.21621621621621623,2022,42,299.64252100000004,9797125,3.058474001301403,2022/23,64.78757210810812,33.936347294723326
2022-10-31,5-18,0.7272727272727273,0.6329004329004332,0.2727272727272727,0.2727272727272727,0,0.2708333333333333,0.2692307692307692,2022,43,336.017352,9797125,3.429754667823469,2022/23,90.46621015384615,57.25610356923079
