week,virus,age,percent,date_start
12,H3,<5,0.020627298,18/03/2024
12,A,<5,0,18/03/2024
13,fluB,<5,0.020100682,25/03/2024
13,H1,<5,0,25/03/2024
13,H3,<5,0.018636867,25/03/2024
13,A,<5,0.002936556,25/03/2024
14,fluB,<5,7.9438751829763e-4,01/04/2024
14,H1,<5,0,01/04/2024
14,H3,<5,0,01/04/2024
14,A,<5,0,01/04/2024
15,fluB,<5,0,08/04/2024
15,H1,<5,0.03304295,08/04/2024
15,H3,<5,0,08/04/2024
15,A,<5,0,08/04/2024
16,fluB,<5,0.068219144,15/04/2024
16,H1,<5,0.038282338,15/04/2024
16,H3,<5,0,15/04/2024
16,A,<5,0.002954408,15/04/2024
17,fluB,<5,0,22/04/2024
17,H1,<5,0,22/04/2024
17,H3,<5,0,22/04/2024
17,A,<5,0,22/04/2024
18,fluB,<5,0,29/04/2024
18,H1,<5,0,29/04/2024
18,H3,<5,0,29/04/2024
18,A,<5,0,29/04/2024
19,fluB,<5,0,06/05/2024
19,H1,<5,0,06/05/2024
19,H3,<5,0,06/05/2024
19,A,<5,0,06/05/2024
20,fluB,<5,0.046967046,13/05/2024
20,H1,<5,0,13/05/2024
20,H3,<5,0.09408583,13/05/2024
20,A,<5,0.001481667,13/05/2024
21,fluB,<5,0,20/05/2024
21,H1,<5,0,20/05/2024
21,H3,<5,0,20/05/2024
21,A,<5,0,20/05/2024
22,fluB,<5,0.034845942,27/05/2024
22,H1,<5,0,27/05/2024
22,H3,<5,0.037791424,27/05/2024
22,A,<5,0.001472741,27/05/2024
23,fluB,<5,0,03/06/2024
23,H1,<5,0,03/06/2024
23,H3,<5,0,03/06/2024
23,A,<5,0,03/06/2024
24,fluB,<5,0,10/06/2024
24,H1,<5,0,10/06/2024
24,H3,<5,0,10/06/2024
24,A,<5,0,10/06/2024
25,fluB,<5,0,17/06/2024
25,H1,<5,0,17/06/2024
25,H3,<5,0,17/06/2024
25,A,<5,0,17/06/2024
26,fluB,<5,0,24/06/2024
26,H1,<5,0,24/06/2024
26,H3,<5,0,24/06/2024
26,A,<5,0,24/06/2024
27,fluB,<5,0,01/07/2024
27,H1,<5,0,01/07/2024
27,H3,<5,0,01/07/2024
27,A,<5,0,01/07/2024
28,fluB,<5,0,08/07/2024
28,H1,<5,0,08/07/2024
28,H3,<5,0,08/07/2024
28,A,<5,0,08/07/2024
29,fluB,<5,0,15/07/2024
29,H1,<5,0,15/07/2024
29,H3,<5,0,15/07/2024
29,A,<5,0,15/07/2024
30,fluB,<5,0,22/07/2024
30,H1,<5,0,22/07/2024
