Week_commencing,B,H1N1,H3,A,age_group
2022-08-08,NA,NA,NA,NA,19-64
2022-08-15,NA,NA,NA,NA,19-64
2022-08-22,NA,NA,NA,NA,19-64
2022-08-29,NA,NA,1,NA,19-64
2022-09-05,NA,NA,NA,NA,19-64
2022-09-12,NA,NA,2,NA,19-64
2022-09-19,NA,NA,NA,NA,19-64
2022-09-26,NA,NA,NA,NA,19-64
2022-10-03,NA,NA,7,NA,19-64
2022-10-10,1,NA,4,NA,19-64
2022-10-17,NA,NA,4,NA,19-64
2022-10-24,NA,NA,6,NA,19-64
2022-10-31,NA,NA,8,NA,19-64
2022-11-07,NA,NA,6,NA,19-64
2022-11-14,NA,NA,13,2,19-64
2022-11-21,NA,NA,5,1,19-64
2022-11-28,1,NA,14,3,19-64
2022-12-05,NA,NA,21,2,19-64
2022-12-12,1,NA,43,2,19-64
2022-12-19,1,NA,101,20,19-64
2022-12-26,1,NA,51,13,19-64
2023-01-02,4,NA,46,4,19-64
2023-01-09,6,NA,16,2,19-64
2023-01-16,3,NA,4,2,19-64
2023-01-23,4,NA,5,2,19-64
2023-01-30,1,NA,1,NA,19-64
2023-02-06,6,1,4,1,19-64
2023-02-13,6,2,NA,NA,19-64
2023-02-20,6,NA,1,NA,19-64
2023-02-27,10,NA,NA,NA,19-64
2023-03-06,10,2,NA,NA,19-64
2023-03-13,10,2,NA,NA,19-64
2023-03-20,6,NA,NA,NA,19-64
2023-03-27,8,NA,NA,NA,19-64
2023-04-03,7,1,NA,NA,19-64
2023-04-10,4,1,NA,NA,19-64
2023-04-17,6,1,NA,NA,19-64
2023-04-24,1,NA,NA,NA,19-64
2023-05-01,1,NA,NA,NA,19-64
2023-05-08,NA,NA,2,NA,19-64
2023-05-15,NA,NA,1,NA,19-64
2023-05-22,NA,NA,NA,NA,19-64
2023-05-29,NA,NA,NA,NA,19-64
2023-06-05,NA,NA,NA,NA,19-64
2023-06-12,NA,NA,1,NA,19-64
2023-06-19,1,1,NA,NA,19-64
2023-06-26,NA,NA,NA,NA,19-64
2023-07-03,NA,NA,NA,NA,19-64
2023-07-10,NA,NA,NA,NA,19-64
2023-07-17,NA,NA,1,NA,19-64
2023-07-24,NA,NA,NA,NA,19-64
2023-07-31,1,NA,NA,NA,19-64
2023-08-07,NA,NA,NA,NA,19-64
2023-08-14,NA,NA,2,NA,19-64
2022-01-10,NA,NA,NA,NA,65plus
2022-01-17,NA,NA,NA,NA,65plus
2022-01-24,NA,NA,NA,NA,65plus
2022-01-31,NA,NA,NA,NA,65plus
2022-02-07,NA,NA,NA,NA,65plus
2022-02-14,NA,NA,NA,NA,65plus
2022-02-21,NA,NA,NA,NA,65plus
2022-02-28,NA,NA,NA,NA,65plus
2022-03-07,NA,NA,NA,NA,65plus
2022-03-14,NA,NA,NA,NA,65plus
2022-03-21,NA,NA,NA,NA,65plus
2022-03-28,NA,NA,NA,NA,65plus
2022-04-04,NA,NA,NA,NA,65plus
2022-04-11,NA,NA,NA,NA,65plus
2022-04-18,NA,NA,NA,NA,65plus
2022-04-25,NA,NA,NA,NA,65plus
2022-05-02,NA,NA,NA,NA,65plus
2022-05-09,NA,NA,NA,NA,65plus
2022-05-16,NA,NA,NA,NA,65plus
2022-05-23,NA,NA,NA,NA,65plus
2022-05-30,NA,NA,NA,NA,65plus
2022-06-06,NA,NA,NA,NA,65plus
2022-06-13,NA,NA,NA,NA,65plus
2022-06-20,NA,NA,NA,NA,65plus
2022-06-27,NA,NA,NA,NA,65plus
2022-07-04,NA,NA,NA,NA,65plus
2022-07-11,NA,NA,NA,NA,65plus
2022-07-18,NA,NA,NA,NA,65plus
2022-07-25,NA,NA,NA,NA,65plus
2022-08-01,NA,NA,NA,NA,65plus
2022-08-08,NA,NA,NA,NA,65plus
2022-08-15,NA,NA,NA,NA,65plus
2022-08-22,NA,NA,NA,NA,65plus
2022-08-29,NA,NA,NA,NA,65plus
2022-09-05,NA,NA,NA,NA,65plus
2022-09-12,NA,NA,NA,NA,65plus
2022-09-19,NA,NA,NA,NA,65plus
2022-09-26,NA,NA,NA,NA,65plus
2022-10-03,NA,1,5,NA,65plus
2022-10-10,NA,NA,NA,NA,65plus
2022-10-17,NA,NA,NA,NA,65plus
2022-10-24,NA,1,8,NA,65plus
2022-10-31,NA,NA,NA,NA,65plus
2022-11-07,NA,NA,NA,NA,65plus
2022-11-14,NA,2,1,NA,65plus
2022-11-21,NA,3,1,NA,65plus
2022-11-28,NA,9,1,NA,65plus
2022-12-05,3,11,2,NA,65plus
2022-12-12,1,17,3,NA,65plus
2022-12-19,1,14,18,NA,65plus
2022-12-26,7,13,14,NA,65plus
2023-01-02,1,8,20,NA,65plus
2023-01-09,NA,NA,4,NA,65plus
2023-01-16,NA,NA,1,NA,65plus
2023-01-23,1,NA,1,NA,65plus
2023-01-30,NA,NA,NA,NA,65plus
2023-02-06,NA,NA,NA,NA,65plus
2023-02-13,NA,NA,1,NA,65plus
2023-02-20,NA,NA,NA,NA,65plus
2023-02-27,1,NA,NA,NA,65plus
2023-03-06,3,NA,1,NA,65plus
2023-03-13,1,NA,NA,NA,65plus
2023-03-20,4,NA,NA,NA,65plus
2023-03-27,2,NA,NA,NA,65plus
2023-04-03,4,NA,NA,NA,65plus
2023-04-10,NA,NA,NA,NA,65plus
2023-04-17,NA,NA,NA,NA,65plus
2023-04-24,NA,1,NA,NA,65plus
2023-05-01,NA,NA,NA,NA,65plus
2023-05-08,2,NA,1,NA,65plus
2023-05-15,1,NA,1,NA,65plus
2023-05-22,NA,NA,NA,NA,65plus
2023-05-29,NA,NA,NA,NA,65plus
2023-06-05,NA,NA,NA,NA,65plus
2023-06-12,NA,NA,NA,NA,65plus
2023-06-19,NA,NA,NA,NA,65plus
2023-06-26,NA,NA,NA,NA,65plus
2023-07-03,NA,NA,NA,NA,65plus
2023-07-10,NA,NA,NA,NA,65plus
2023-07-17,NA,NA,NA,NA,65plus
2023-07-24,NA,NA,NA,NA,65plus
2023-07-31,NA,NA,NA,NA,65plus
2023-08-07,NA,NA,NA,NA,65plus
2023-08-14,NA,NA,NA,NA,65plus
2023-08-21,NA,NA,NA,NA,65plus
2023-08-28,NA,NA,NA,NA,65plus
2023-09-04,NA,NA,NA,NA,65plus
2023-09-11,NA,NA,NA,NA,65plus
2023-09-18,NA,NA,NA,NA,65plus
2023-09-25,NA,NA,NA,NA,65plus
2023-10-02,NA,NA,NA,NA,65plus
