Year,Week,date,age_group,ILI,ILI_per_100k,flu_samples,prop_flu,smooth_total_samples,smooth_flu_samples,smooth_prop,ILI_flu
2023,33,2023-08-20,5-18,52.00216,0.5307900021690036,0,0,13.666666666666666,0,0,0
2023,34,2023-08-27,5-18,53.358278,0.5446320017352029,0,0,10.666666666666666,0,0,0
2023,35,2023-09-03,5-18,75.766197,0.7733513352131365,0,0,8.666666666666666,0,0,0
2023,36,2023-09-10,5-18,85.56332200000001,0.8733513352131366,0,0,13,0,0,0
2023,37,2023-09-17,5-18,126.10794000000001,1.287193334779336,0,0,26.333333333333332,0,0,0
2023,38,2023-09-24,5-18,218.553285,2.2307900021690035,0,0,45.333333333333336,0,0,0
2023,39,2023-10-01,5-18,236.791417,2.4169480026028043,0,0,66,0,0,0
2023,40,2023-10-08,5-18,224.28205600000004,2.2892640034704064,0,0,80.66666666666667,1.3333333333333333,0.016528925619834708,3.7071414214876035
2023,41,2023-10-15,5-18,250.75832900000003,2.5595093356469376,4,0.044444444444444446,84.33333333333333,2,0.023715415019762848,5.946837841897234
2023,42,2023-10-22,5-18,256.385667,2.616948002602805,2,0.02564102564102564,77,2.6666666666666665,0.03463203463203463,8.8791572987013
2023,43,2023-10-29,5-18,222.824505,2.2743866695586714,2,0.031746031746031744,68.33333333333333,1.3333333333333333,0.01951219512195122,4.347795219512195
2023,44,2023-11-05,5-18,213.128813,2.1754220039042065,0,0,73.66666666666667,0.6666666666666666,0.009049773755656108,1.9287675384615384
2023,45,2023-11-12,5-18,275.97991699999994,2.8169480026028038,0,0,90.66666666666667,1.3333333333333333,0.014705882352941175,4.058528191176469
2023,46,2023-11-19,5-18,256.385667,2.616948002602805,4,0.03508771929824561,108,1.3333333333333333,0.012345679012345678,3.165255148148148
2023,47,2023-11-26,5-18,344.458359,3.5159126682572692,0,0,123.33333333333333,2,0.016216216216216217,5.585811227027027
2023,48,2023-12-03,5-18,393.54541700000004,4.016948002602804,2,0.014285714285714285,130,3,0.023076923076923078,9.081817315384617
2023,49,2023-12-10,5-18,456.5993870000001,4.660544669992474,7,0.05223880597014925,147.33333333333334,5.333333333333333,0.03619909502262443,16.52848459728507
2023,50,2023-12-17,5-18,508.500114,5.190299337815941,7,0.041666666666666664,157,11.666666666666666,0.07430997876857749,37.78663267515923
2023,51,2023-12-24,5-18,577.181422,5.891334672161476,21,0.1242603550295858,143,11.333333333333334,0.07925407925407926,45.743982163170166
2023,52,2023-12-31,5-18,326.52452600000004,3.3328606708600743,6,0.06521739130434782,92,9,0.09782608695652174,31.942616673913047
2021,53,2022-01-09,19-64,382.4660509999999,1.0999999999999996,0,0,70.33333333333333,2,0.028436018957345974,10.875811876777249
2022,1,2022-01-09,19-64,521.5446149999999,1.4999999999999998,0,0,70.33333333333333,2,0.028436018957345974,14.830652559241704
2022,2,2022-01-16,19-64,625.8535380000003,1.8000000000000007,0,0,44.333333333333336,0,0,0
2022,3,2022-01-23,19-64,452.0053329999999,1.2999999999999996,0,0,49.666666666666664,0,0,0
2022,4,2022-01-30,19-64,382.4660509999999,1.0999999999999996,0,0,43.333333333333336,0,0,0
2022,5,2022-02-06,19-64,347.69641,1,0,0,41.333333333333336,0,0,0
2022,6,2022-02-13,19-64,660.623179,1.9000000000000001,0,0,32.666666666666664,0,0,0
2022,7,2022-02-20,19-64,591.0838970000001,1.7000000000000004,0,0,29.333333333333332,0.3333333333333333,0.011363636363636364,6.7168624659090925
2022,8,2022-02-27,19-64,417.23569200000003,1.2000000000000002,1,0.027777777777777776,26,0.3333333333333333,0.01282051282051282,5.349175538461538
2022,9,2022-03-06,19-64,556.3142560000002,1.6000000000000008,0,0,33.333333333333336,1,0.03,16.689427680000005
2022,10,2022-03-13,19-64,904.0106659999998,2.599999999999999,2,0.05555555555555555,38.333333333333336,1,0.02608695652173913,23.58288693913043
2022,11,2022-03-20,19-64,521.5446149999999,1.4999999999999998,1,0.0196078431372549,50.333333333333336,2.6666666666666665,0.05298013245033112,27.631502781456945
2022,12,2022-03-27,19-64,799.701743,2.3,5,0.078125,58.333333333333336,3,0.05142857142857143,41.127518211428566
2022,13,2022-04-03,19-64,1043.0892299999998,2.9999999999999996,3,0.05,63.333333333333336,3.3333333333333335,0.05263157894736842,54.89943315789473
