Year,Week,date,group,ILI,N,ILI_per_100k,positivity,Season,percentage_h3,Influenza_cases,ILIplus
2025,42,2025-10-19,15-44,1377.0375600000002,22950626,6.000000000000001,0.11,2025 to 2026,0.7540983606557377,151.47413160000002,114.22639432131149
2025,43,2025-10-26,15-44,1377.0375600000002,22950626,6.000000000000001,0.14,2025 to 2026,0.8571428571428571,192.78525840000006,165.24450720000004
2025,44,2025-11-02,15-44,1422.938812,22950626,6.200000000000001,0.18399999999999997,2025 to 2026,0.9242424242424242,261.82074140799995,241.98583675587872
2023,1,2023-01-08,45-64,4814.1530360000015,14632684,32.90000000000001,0.11099999999999999,2022 to 2023,0.6195652173913044,534.370986996,331.0776767257827
2023,2,2023-01-15,45-64,2429.025544,14632684,16.6,0.05500000000000001,2022 to 2023,0.5581395348837209,133.59640492000003,74.56543530418605
2023,3,2023-01-22,45-64,1316.94156,14632684,9,0.031000000000000007,2022 to 2023,0.4736842105263158,40.825188360000006,19.338247117894742
2023,4,2023-01-29,45-64,673.1034639999998,14632684,4.599999999999999,0.028999999999999988,2022 to 2023,0.42857142857142855,19.520000455999988,8.36571448114285
2023,5,2023-02-05,45-64,804.7976200000002,14632684,5.500000000000001,0.023,2022 to 2023,0.2631578947368421,18.510345260000005,4.871143489473686
2023,6,2023-02-12,45-64,585.3073599999999,14632684,3.9999999999999996,0.015,2022 to 2023,0.125,8.779610399999997,1.0974512999999997
2023,7,2023-02-19,45-64,658.47078,14632684,4.5,0.009,2022 to 2023,0.05,5.926237019999999,0.29631185099999996
2023,8,2023-02-26,45-64,599.940044,14632684,4.1,0.015,2022 to 2023,0.10526315789473684,8.999100659999998,0.9472737536842103
2023,9,2023-03-05,45-64,599.940044,14632684,4.1,0.01,2022 to 2023,0.11764705882352942,5.99940044,0.7058118164705882
2023,10,2023-03-12,45-64,556.0419919999999,14632684,3.8,0.01,2022 to 2023,0.11111111111111112,5.560419919999999,0.6178244355555556
2023,11,2023-03-19,45-64,395.082468,14632684,2.6999999999999997,0.015,2022 to 2023,0.05555555555555556,5.92623702,0.32923539
2023,12,2023-03-26,45-64,351.18441599999994,14632684,2.3999999999999995,0.006999999999999998,2022 to 2023,0.06666666666666667,2.458290911999999,0.16388606079999993
2023,13,2023-04-02,45-64,453.613204,14632684,3.1,0.013000000000000001,2022 to 2023,0,5.896971652,0
2023,14,2023-04-09,45-64,292.65367999999995,14632684,1.9999999999999998,0.005999999999999999,2022 to 2023,0,1.7559220799999995,0
2023,15,2023-04-16,45-64,321.91904800000003,14632684,2.2,0.013000000000000001,2022 to 2023,0,4.184947624000001,0
2023,16,2023-04-23,45-64,263.388312,14632684,1.8,0.005,2022 to 2023,0,1.3169415599999998,0
2023,17,2023-04-30,45-64,175.59220799999997,14632684,1.1999999999999997,0.006999999999999998,2022 to 2023,0,1.2291454559999995,0
2023,18,2023-05-07,45-64,219.49025999999998,14632684,1.4999999999999998,0.0029999999999999996,2022 to 2023,0,0.6584707799999998,0
2023,19,2023-05-14,45-64,248.755628,14632684,1.7,0.002,2022 to 2023,0,0.497511256,0
