week,virus,age,percent,date_start
70,H3,5,0,2025-04-28
70,A,5,0.00255489640088657,2025-04-28
71,fluB,5,0.00121938237315055,2025-05-05
71,H1,5,0.0060969118657519,2025-05-05
71,H3,5,0,2025-05-05
71,A,5,0.00580658272928769,2025-05-05
72,fluB,5,0.12217050062420776,2025-05-12
72,H1,5,0.00305813357075801,2025-05-12
72,H3,5,0,2025-05-12
72,A,5,0,2025-05-12
73,fluB,5,0.00614530005516278,2025-05-19
73,H1,5,0.00149035623385041,2025-05-19
73,H3,5,0,2025-05-19
73,A,5,0,2025-05-19
74,fluB,5,0.00629046462339477,2025-05-26
74,H1,5,1.9355275764360545e-5,2025-05-26
74,H3,5,0,2025-05-26
74,A,5,0.0030678112086402,2025-05-26
75,fluB,5,0.00647433974315569,2025-06-02
75,H1,5,0,2025-06-02
75,H3,5,0,2025-06-02
75,A,5,3.8710551528709815e-5,2025-06-02
76,fluB,5,0.00508075988812661,2025-06-09
76,H1,5,0.10703467497653188,2025-06-09
76,H3,5,0.00152906678537911,2025-06-09
76,A,5,9.67763788216336e-6,2025-06-09
77,fluB,5,0.00375492349827277,2025-06-16
77,H1,5,0.00304845593287583,2025-06-16
77,H3,5,0,2025-06-16
77,A,5,0,2025-06-16
78,fluB,5,0.00391944334226912,2025-06-23
78,H1,5,0.00611626714151603,2025-06-23
78,H3,5,0,2025-06-23
78,A,5,0,2025-06-23
79,fluB,5,0.00410331846203004,2025-06-30
79,H1,5,0.00456784508037278,2025-06-30
79,H3,5,0,2025-06-30
79,A,5,0.00153874442326129,2025-06-30
80,fluB,5,0.00273877152064727,2025-07-07
80,H1,5,0.00458720035613713,2025-07-07
80,H3,5,0,2025-07-07
80,A,5,0,2025-07-07
81,fluB,5,0.00750016935866315,2025-07-14
81,H1,5,0.00301942301922931,2025-07-14
81,H3,5,0,2025-07-14
81,A,5,0.00150003387173257,2025-07-14
82,fluB,5,0.0076646892026595,2025-07-21
82,H1,5,0.00150971150961498,2025-07-21
82,H3,5,0,2025-07-21
82,A,5,0,2025-07-21
83,fluB,5,0.00478075311378023,2025-07-28
83,H1,5,0.00456784508037278,2025-07-28
83,H3,5,0.3394528263541434,2025-07-28
83,A,5,0,2025-07-28
84,fluB,5,0.00494527295777658,2025-08-04
84,H1,5,0.5106792734029477,2025-08-04
84,H3,5,0.00153874442326118,2025-08-04
84,A,5,0,2025-08-04
85,fluB,5,0.00661950431138769,2025-08-11
85,H1,5,0.00306781120864041,2025-08-11
85,H3,5,0,2025-08-11
85,A,5,0.21102089402018764,2025-08-11
86,fluB,5,0.00527431264576971,2025-08-18
86,H1,5,2.9032913646309663e-5,2025-08-18
86,H3,5,0,2025-08-18
86,A,5,0,2025-08-18
87,fluB,5,0.00545818776553042,2025-08-25
87,H1,5,0.00304845593287583,2025-08-25
87,H3,5,0,2025-08-25
87,A,5,0.00150971150961454,2025-08-25
88,fluB,5,0.00561302997164481,2025-09-01
88,H1,5,0.00154842206114302,2025-09-01
88,H3,5,0,2025-09-01
88,A,5,0,2025-09-01
89,fluB,5,0.00730661660102005,2025-09-08
89,H1,5,0.00306781120864041,2025-09-08
89,H3,5,0,2025-09-08
89,A,5,0.00155809969902565,2025-09-08
90,fluB,5,0.00900988086827792,2025-09-15
90,H1,5,0,2025-09-15
90,H3,5,0,2025-09-15
90,A,5,9.67763788217984e-6,2025-09-15
91,fluB,5,0.00919375598803862,2025-09-22
91,H1,5,0,2025-09-22
91,H3,5,0,2025-09-22
91,A,5,0,2025-09-22
92,fluB,5,0.00934859819415301,2025-09-29
92,H1,5,0.03362979164045643,2025-09-29
92,H3,5,0.06727893855667699,2025-09-29
92,A,5,0,2025-09-29
93,fluB,5,0.00953247331391371,2025-10-06
93,H1,5,0.05194956015135799,2025-10-06
93,H3,5,0.22631156187397805,2025-10-06
93,A,5,0,2025-10-06
94,fluB,5,0.0096873155200281,2025-10-13
94,H1,5,0.03514918078795338,2025-10-13
94,H3,5,0.5045823615371958,2025-10-13
94,A,5,0.03518789133948197,2025-10-13
95,fluB,5,0.00984215772614227,2025-10-20
95,H1,5,0.09326339627023848,2025-10-20
95,H3,5,0.6223495369250271,2025-10-20
95,A,5,0.04892045949424672,2025-10-20
96,fluB,5,0.01002603284590319,2025-10-27
96,H1,5,0.03056198043181624,2025-10-27
96,H3,5,0.6972641317707173,2025-10-27
96,A,5,0,2025-10-27
97,fluB,5,0.01020023032778172,2025-11-03
97,H1,5,0,2025-11-03
97,H3,5,0.45411347998180607,2025-11-03
97,A,5,1.935527576424345e-5,2025-11-03
98,fluB,5,0.01035507253389611,2025-11-10
98,H1,5,0.0275135244989404,2025-11-10
98,H3,5,0.55200278715971,2025-11-10
98,A,5,0.02292632414280315,2025-11-10
99,fluB,5,0.00899052559251334,2025-11-17
99,H1,5,0,2025-11-17
99,H3,5,0.7415973909088268,2025-11-17
99,A,5,0.02753287977470464,2025-11-17
100,fluB,5,0.0412751255673518,2025-11-24
