date,H3_sum,flu_pos_sum,Year,Week,Season
2022-10-03,40,496,2022,40,2022/23
2022-10-10,98,646,2022,41,2022/23
2022-10-17,205,1121,2022,42,2022/23
2022-10-24,343,1102,2022,43,2022/23
2022-10-31,98,1009,2022,44,2022/23
2022-11-07,256,1246,2022,45,2022/23
2022-11-14,588,1549,2022,46,2022/23
2022-11-21,1277,2354,2022,47,2022/23
2022-11-28,2017,3743,2022,48,2022/23
2022-12-05,2883,5776,2022,49,2022/23
2022-12-12,5126,9962,2022,50,2022/23
2022-12-19,6037,14701,2022,51,2022/23
2022-12-26,4230,11367,2022,52,2022/23
2023-01-02,2191,6030,2023,1,2022/23
2023-01-09,1123,2607,2023,2,2022/23
2023-01-16,298,1137,2023,3,2022/23
2023-01-23,129,946,2023,4,2022/23
2023-01-30,113,875,2023,5,2022/23
2023-02-06,108,756,2023,6,2022/23
2023-02-13,54,756,2023,7,2022/23
2023-02-20,636,1773,2023,8,2022/23
2023-02-27,44,578,2023,9,2022/23
2023-03-06,41,680,2023,10,2022/23
2023-03-13,47,737,2023,11,2022/23
2023-03-20,58,538,2023,12,2022/23
2023-03-27,3,385,2023,13,2022/23
2023-04-03,18,305,2023,14,2022/23
2023-04-10,16,239,2023,15,2022/23
2023-04-17,0,184,2023,16,2022/23
2023-04-24,0,185,2023,17,2022/23
2023-05-01,0,145,2023,18,2022/23
2023-05-08,19,107,2023,19,2022/23
2023-05-15,0,76,2023,20,2022/23
2023-05-22,0,59,2023,21,2022/23
2023-05-29,1,58,2023,22,2022/23
2023-06-05,0,56,2023,23,2022/23
2023-06-12,0,45,2023,24,2022/23
2023-06-19,23,66,2023,25,2022/23
2023-06-26,0,31,2023,26,2022/23
2023-07-03,0,54,2023,27,2023/24
2023-07-10,0,63,2023,28,2023/24
2023-07-17,15,57,2023,29,2023/24
2023-07-24,1,45,2023,30,2023/24
2023-07-31,18,65,2023,31,2023/24
2023-08-07,0,51,2023,32,2023/24
2023-08-14,24,55,2023,33,2023/24
2023-08-21,1,52,2023,34,2023/24
2023-08-28,1,51,2023,35,2023/24
2023-09-04,17,85,2023,36,2023/24
2023-09-11,42,87,2023,37,2023/24
2023-09-18,45,118,2023,38,2023/24
2023-09-25,58,97,2023,39,2023/24
2023-10-02,27,116,2023,40,2023/24
2023-10-09,86,152,2023,41,2023/24
2023-10-16,45,157,2023,42,2023/24
2023-10-23,97,178,2023,43,2023/24
2023-10-30,144,262,2023,44,2023/24
2023-11-06,187,301,2023,45,2023/24
2023-11-13,166,350,2023,46,2023/24
2023-11-20,168,416,2023,47,2023/24
2023-11-27,321,581,2023,48,2023/24
2023-12-04,421,1290,2023,49,2023/24
2023-12-11,803,2225,2023,50,2023/24
2023-12-18,1838,3554,2023,51,2023/24
2023-12-25,1436,3267,2023,52,2023/24
